,Field,Value
0,RN:,63019007
1,CU:,23
2,NC:,21B
3,SR:,5120
4,CS:,4.000
5,PL:,Crown/Kay
6,SC:,N
7,ID:,
8,AG:,
9,IA:,
10,GS:,Megaptera novaeangliae AC2A
11,GA:,ASWAC2A
12,OD:,26-Mar-1963 AC2A | MarAC2A 1963AC2A
13,NT:,AC2A Long groan; associated echo.
14,DA:,08-Aug-1994
15,IP:,
16,AP:,
17,BH:,
18,OS:,
19,NA:,1 AC2A
20,GB:,"Argus Island, Bermuda AC2A"
21,GC:,N32AC2A W064AC2A
22,OT:,
23,SH:,Offshore Platform
24,AU:,Vernon Coleman
25,LO:,"CD #9, 10 | SHIV"
26,HY:,
27,RC:,Bottom echoes
28,RG:,Ampex
29,SL:,
30,ST:,BLAC2A | Groan AC2A
